"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"KSNP3-CFSAN|avgBranLen",0.1,-0.14,0.35,0.23
"LyveSET-CFSAN|avgBranLen",0.03,-0.21,0.27,0.77
"LyveSET-KSNP3|avgBranLen",-0.07,-0.32,0.17,0.38
"KSNP3-CFSAN|dia",1.5,-1.3,4.3,0.15
"LyveSET-CFSAN|dia",0.51,-2.29,3.31,0.61
"LyveSET-KSNP3|dia",-0.99,-3.79,1.81,0.3
"KSNP3-CFSAN|edge",2.67,-3.66,9,0.23
"LyveSET-CFSAN|edge",0.8,-5.53,7.13,0.77
"LyveSET-KSNP3|edge",-1.86,-8.19,4.47,0.38
"KSNP3-CFSAN|height",1.13,-1.14,3.41,0.18
"LyveSET-CFSAN|height",0.31,-1.96,2.59,0.73
"LyveSET-KSNP3|height",-0.82,-3.09,1.46,0.29
"KSNP3-CFSAN|totalClusters",-0.5,-2.9,1.9,0.55
"LyveSET-CFSAN|totalClusters",0,-2.4,2.4,1
"LyveSET-KSNP3|totalClusters",0.5,-1.9,2.9,0.55
"KSNP3-CFSAN|outbreakClusters",-0.5,-2.9,1.9,0.55
"LyveSET-CFSAN|outbreakClusters",0,-2.4,2.4,1
"LyveSET-KSNP3|outbreakClusters",0.5,-1.9,2.9,0.55
