"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"KSNP3-CFSAN|avgBranLen",0,-0.04,0.05,0.95
"LyveSET-CFSAN|avgBranLen",0,-0.05,0.04,0.9
"LyveSET-KSNP3|avgBranLen",-0.01,-0.05,0.04,0.77
"KSNP3-CFSAN|dia",0.31,-9.52,10.14,0.98
"LyveSET-CFSAN|dia",-0.73,-10.56,9.1,0.91
"LyveSET-KSNP3|dia",-1.04,-10.87,8.79,0.82
"KSNP3-CFSAN|edge",0.51,-9.4,10.41,0.95
"LyveSET-CFSAN|edge",-0.75,-10.65,9.16,0.9
"LyveSET-KSNP3|edge",-1.25,-11.16,8.65,0.77
"KSNP3-CFSAN|height",0.3,-9.55,10.16,0.98
"LyveSET-CFSAN|height",-0.72,-10.58,9.14,0.91
"LyveSET-KSNP3|height",-1.02,-10.88,8.83,0.83
"KSNP3-CFSAN|totalClusters",5,-23.86,33.86,0.64
"LyveSET-CFSAN|totalClusters",-1,-29.86,27.86,0.98
"LyveSET-KSNP3|totalClusters",-6,-34.86,22.86,0.55
"KSNP3-CFSAN|outbreakClusters",0.5,-5.86,6.86,0.89
"LyveSET-CFSAN|outbreakClusters",-0.5,-6.86,5.86,0.89
"LyveSET-KSNP3|outbreakClusters",-1,-7.36,5.36,0.68
