"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"KSNP3-CFSAN|avgBranLen",0.23,-1.21,1.67,0.91
"LyveSET-CFSAN|avgBranLen",0.4,-1.04,1.83,0.77
"LyveSET-KSNP3|avgBranLen",0.17,-1.27,1.6,0.95
"KSNP3-CFSAN|dia",0.49,-1.21,2.18,0.75
"LyveSET-CFSAN|dia",0.63,-1.06,2.33,0.62
"LyveSET-KSNP3|dia",0.15,-1.55,1.84,0.97
"KSNP3-CFSAN|edge",0.23,-1.2,1.67,0.91
"LyveSET-CFSAN|edge",0.4,-1.04,1.84,0.77
"LyveSET-KSNP3|edge",0.17,-1.27,1.6,0.95
"KSNP3-CFSAN|height",0.52,-1.11,2.14,0.71
"LyveSET-CFSAN|height",0.58,-1.04,2.21,0.64
"LyveSET-KSNP3|height",0.07,-1.56,1.69,0.99
"KSNP3-CFSAN|totalClusters",0.5,-4.38,5.38,0.96
"LyveSET-CFSAN|totalClusters",-3.8,-8.68,1.08,0.15
"LyveSET-KSNP3|totalClusters",-4.3,-9.18,0.58,0.09
"KSNP3-CFSAN|outbreakClusters",-0.2,-0.85,0.45,0.72
"LyveSET-CFSAN|outbreakClusters",-0.4,-1.05,0.25,0.29
"LyveSET-KSNP3|outbreakClusters",-0.2,-0.85,0.45,0.72
