"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"KSNP3-CFSAN|avgBranLen",0.01,-0.02,0.04,0.32
"LyveSET-CFSAN|avgBranLen",0,-0.03,0.03,0.76
"LyveSET-KSNP3|avgBranLen",-0.01,-0.04,0.02,0.55
"KSNP3-CFSAN|dia",0.5,-1.16,2.17,0.37
"LyveSET-CFSAN|dia",0.15,-1.52,1.82,0.86
"LyveSET-KSNP3|dia",-0.35,-2.02,1.32,0.54
"KSNP3-CFSAN|edge",1.63,-3.25,6.51,0.32
"LyveSET-CFSAN|edge",0.62,-4.25,5.5,0.76
"LyveSET-KSNP3|edge",-1.01,-5.88,3.87,0.55
"KSNP3-CFSAN|height",0.45,-1.06,1.96,0.37
"LyveSET-CFSAN|height",0.14,-1.37,1.65,0.86
"LyveSET-KSNP3|height",-0.32,-1.83,1.19,0.54
"KSNP3-CFSAN|totalClusters",8,-10.78,26.78,0.22
"LyveSET-CFSAN|totalClusters",2.5,-16.28,21.28,0.75
"LyveSET-KSNP3|totalClusters",-5.5,-24.28,13.28,0.38
"KSNP3-CFSAN|outbreakClusters",3.5,-5.17,12.17,0.24
"LyveSET-CFSAN|outbreakClusters",0.5,-8.17,9.17,0.94
"LyveSET-KSNP3|outbreakClusters",-3,-11.67,5.67,0.31
