"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"KSNP3-CFSAN|avgBranLen",-2.84,-14.42,8.73,0.47
"LyveSET-CFSAN|avgBranLen",-4.91,-16.49,6.66,0.23
"LyveSET-KSNP3|avgBranLen",-2.07,-13.64,9.51,0.62
"KSNP3-CFSAN|dia",-2.6,-13.24,8.05,0.47
"LyveSET-CFSAN|dia",-4.64,-15.28,6.01,0.22
"LyveSET-KSNP3|dia",-2.04,-12.68,8.6,0.59
"KSNP3-CFSAN|edge",-2.83,-14.4,8.75,0.47
"LyveSET-CFSAN|edge",-4.89,-16.47,6.68,0.23
"LyveSET-KSNP3|edge",-2.07,-13.64,9.51,0.62
"KSNP3-CFSAN|height",-2.34,-12.29,7.61,0.49
"LyveSET-CFSAN|height",-4.38,-14.33,5.57,0.21
"LyveSET-KSNP3|height",-2.04,-11.99,7.91,0.56
"KSNP3-CFSAN|totalClusters",0.28,-5.77,6.33,0.96
"LyveSET-CFSAN|totalClusters",-1.45,-7.5,4.6,0.48
"LyveSET-KSNP3|totalClusters",-1.73,-7.78,4.32,0.39
"KSNP3-CFSAN|outbreakClusters",-0.42,-2.3,1.46,0.51
"LyveSET-CFSAN|outbreakClusters",-1.18,-3.06,0.7,0.12
"LyveSET-KSNP3|outbreakClusters",-0.75,-2.63,1.13,0.25
