"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"KSNP3-CFSAN|avgBranLen",0.61,-1.53,2.76,0.76
"LyveSET-CFSAN|avgBranLen",-0.62,-2.76,1.53,0.75
"LyveSET-KSNP3|avgBranLen",-1.23,-3.37,0.92,0.34
"KSNP3-CFSAN|dia",0.84,-1.51,3.18,0.65
"LyveSET-CFSAN|dia",-0.71,-3.05,1.64,0.73
"LyveSET-KSNP3|dia",-1.54,-3.89,0.8,0.24
"KSNP3-CFSAN|edge",0.62,-1.53,2.76,0.75
"LyveSET-CFSAN|edge",-0.61,-2.76,1.53,0.75
"LyveSET-KSNP3|edge",-1.23,-3.37,0.91,0.34
"KSNP3-CFSAN|height",0.94,-1.35,3.22,0.57
"LyveSET-CFSAN|height",-0.56,-2.85,1.72,0.81
"LyveSET-KSNP3|height",-1.5,-3.79,0.79,0.25
"KSNP3-CFSAN|totalClusters",0.25,-0.05,0.55,0.12
"LyveSET-CFSAN|totalClusters",-0.02,-0.32,0.28,0.98
"LyveSET-KSNP3|totalClusters",-0.27,-0.57,0.03,0.09
"KSNP3-CFSAN|outbreakClusters",0.46,-0.11,1.03,0.13
"LyveSET-CFSAN|outbreakClusters",0.04,-0.53,0.61,0.98
"LyveSET-KSNP3|outbreakClusters",-0.42,-0.99,0.15,0.18
