"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"KSNP3-CFSAN|avgBranLen",0.01,-0.07,0.08,0.9
"LyveSET-CFSAN|avgBranLen",-0.01,-0.09,0.07,0.81
"LyveSET-KSNP3|avgBranLen",-0.01,-0.09,0.06,0.59
"KSNP3-CFSAN|dia",0.21,-4.82,5.25,0.97
"LyveSET-CFSAN|dia",-0.87,-5.91,4.16,0.64
"LyveSET-KSNP3|dia",-1.08,-6.12,3.95,0.53
"KSNP3-CFSAN|edge",0.73,-8.85,10.31,0.9
"LyveSET-CFSAN|edge",-1.08,-10.66,8.5,0.81
"LyveSET-KSNP3|edge",-1.81,-11.39,7.77,0.59
"KSNP3-CFSAN|height",0.25,-4.17,4.68,0.94
"LyveSET-CFSAN|height",-0.3,-4.73,4.12,0.92
"LyveSET-KSNP3|height",-0.56,-4.98,3.86,0.77
"KSNP3-CFSAN|totalClusters",0.8,-4.07,5.67,0.66
"LyveSET-CFSAN|totalClusters",-0.35,-5.22,4.52,0.91
"LyveSET-KSNP3|totalClusters",-1.15,-6.02,3.72,0.48
"KSNP3-CFSAN|outbreakClusters",3,-15.16,21.16,0.66
"LyveSET-CFSAN|outbreakClusters",-0.5,-18.66,17.66,0.99
"LyveSET-KSNP3|outbreakClusters",-3.5,-21.66,14.66,0.59
