"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"KSNP3-CFSAN|avgBranLen",0,-0.02,0.03,0.69
"LyveSET-CFSAN|avgBranLen",0,-0.03,0.03,0.92
"LyveSET-KSNP3|avgBranLen",-0.01,-0.03,0.02,0.52
"KSNP3-CFSAN|dia",0.44,-4.17,5.06,0.85
"LyveSET-CFSAN|dia",-0.5,-5.11,4.12,0.82
"LyveSET-KSNP3|dia",-0.94,-5.56,3.67,0.56
"KSNP3-CFSAN|edge",1.34,-7.45,10.14,0.69
"LyveSET-CFSAN|edge",-0.58,-9.37,8.22,0.92
"LyveSET-KSNP3|edge",-1.92,-10.71,6.87,0.52
"KSNP3-CFSAN|height",-0.08,-3.21,3.05,0.99
"LyveSET-CFSAN|height",-0.5,-3.63,2.64,0.68
"LyveSET-KSNP3|height",-0.42,-3.55,2.71,0.74
"KSNP3-CFSAN|totalClusters",2.5,-43.19,48.19,0.95
"LyveSET-CFSAN|totalClusters",-5.5,-51.19,40.19,0.78
"LyveSET-KSNP3|totalClusters",-8,-53.69,37.69,0.63
"KSNP3-CFSAN|outbreakClusters",1.5,-9.52,12.52,0.74
"LyveSET-CFSAN|outbreakClusters",-0.5,-11.52,10.52,0.96
"LyveSET-KSNP3|outbreakClusters",-2,-13.02,9.02,0.61
