"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"KSNP3-CFSAN|avgBranLen",0.34,-2.09,2.78,0.93
"LyveSET-CFSAN|avgBranLen",0.37,-2.07,2.8,0.92
"LyveSET-KSNP3|avgBranLen",0.02,-2.41,2.46,1
"KSNP3-CFSAN|dia",0.49,-1.88,2.85,0.86
"LyveSET-CFSAN|dia",0.07,-2.29,2.44,1
"LyveSET-KSNP3|dia",-0.42,-2.78,1.95,0.9
"KSNP3-CFSAN|edge",0.34,-2.09,2.78,0.93
"LyveSET-CFSAN|edge",0.37,-2.07,2.8,0.92
"LyveSET-KSNP3|edge",0.02,-2.41,2.46,1
"KSNP3-CFSAN|height",0.33,-1.95,2.6,0.93
"LyveSET-CFSAN|height",0.07,-2.2,2.35,1
"LyveSET-KSNP3|height",-0.25,-2.53,2.02,0.96
"KSNP3-CFSAN|totalClusters",2.5,-3.6,8.6,0.57
"LyveSET-CFSAN|totalClusters",-6.4,-12.5,-0.3,0.04
"LyveSET-KSNP3|totalClusters",-8.9,-15,-2.8,0
"KSNP3-CFSAN|outbreakClusters",2.9,0.05,5.75,0.05
"LyveSET-CFSAN|outbreakClusters",-0.6,-3.45,2.25,0.86
"LyveSET-KSNP3|outbreakClusters",-3.5,-6.35,-0.65,0.01
