"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"Enterobase-CFSAN|collessPDA",-0.44,-1.86,0.97,0.53
"KSNP3-CFSAN|collessPDA",-0.5,-1.91,0.92,0.46
"LyveSET-CFSAN|collessPDA",-0.46,-1.87,0.95,0.5
"KSNP3-Enterobase|collessPDA",-0.05,-1.47,1.36,1
"LyveSET-Enterobase|collessPDA",-0.02,-1.43,1.4,1
"LyveSET-KSNP3|collessPDA",0.04,-1.38,1.45,1
"Enterobase-CFSAN|collessYule",-0.84,-2.75,1.07,0.32
"KSNP3-CFSAN|collessYule",-0.67,-2.58,1.23,0.45
"LyveSET-CFSAN|collessYule",-0.62,-2.53,1.29,0.5
"KSNP3-Enterobase|collessYule",0.17,-1.74,2.07,0.97
"LyveSET-Enterobase|collessYule",0.22,-1.69,2.13,0.94
"LyveSET-KSNP3|collessYule",0.05,-1.85,1.96,1
"Enterobase-CFSAN|gamma",1.36,-0.15,2.86,0.07
"KSNP3-CFSAN|gamma",-0.03,-1.54,1.47,1
"LyveSET-CFSAN|gamma",0.01,-1.5,1.51,1
"KSNP3-Enterobase|gamma",-1.39,-2.89,0.11,0.06
"LyveSET-Enterobase|gamma",-1.35,-2.85,0.15,0.07
"LyveSET-KSNP3|gamma",0.04,-1.46,1.54,1
"Enterobase-CFSAN|sackinPDA",-0.35,-1.44,0.75,0.52
"KSNP3-CFSAN|sackinPDA",-0.36,-1.45,0.73,0.49
"LyveSET-CFSAN|sackinPDA",-0.34,-1.43,0.75,0.53
"KSNP3-Enterobase|sackinPDA",-0.02,-1.11,1.08,1
"LyveSET-Enterobase|sackinPDA",0,-1.09,1.1,1
"LyveSET-KSNP3sackinPDA",0.02,-1.07,1.11,1
"Enterobase-CFSAN|sackinYule",-1.02,-3.06,1.01,0.25
"KSNP3-CFSAN|sackinYule",-0.69,-2.72,1.34,0.47
"LyveSET-CFSAN|sackinYule",-0.65,-2.68,1.38,0.52
"KSNP3-Enterobase|sackinYule",0.33,-1.7,2.36,0.86
"LyveSET-Enterobase|sackinYule",0.38,-1.65,2.41,0.81
"LyveSET-KSNP3|sackinYule",0.05,-1.99,2.08,1
"Enterobase-CFSAN|totalClusters",2,-26.14,30.14,0.98
"KSNP3-CFSAN|totalClusters",5,-23.14,33.14,0.83
"LyveSET-CFSAN|totalClusters",-1,-29.14,27.14,1
"KSNP3-Enterobase|totalClusters",3,-25.14,31.14,0.95
"LyveSET-Enterobase|totalClusters",-3,-31.14,25.14,0.95
"LyveSET-totalClusters",-6,-34.14,22.14,0.75
"Enterobase-CFSAN|outbreakClusters",-1,-5.83,3.83,0.76
"KSNP3-CFSAN|outbreakClusters",0.5,-4.33,5.33,0.95
"LyveSET-CFSAN|outbreakClusters",-0.5,-5.33,4.33,0.95
"KSNP3-Enterobase|outbreakClusters",1.5,-3.33,6.33,0.53
"LyveSET-Enterobase|outbreakClusters",0.5,-4.33,5.33,0.95
"LyveSET-KSNP3|outbreakClusters",-1,-5.83,3.83,0.76
