"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"Enterobase-CFSAN|collessPDA",0.17,-0.15,0.48,0.49
"KSNP3-CFSAN|collessPDA",0.15,-0.16,0.46,0.57
"LyveSET-CFSAN|collessPDA",0.23,-0.08,0.54,0.21
"KSNP3-Enterobase|collessPDA",-0.02,-0.33,0.3,1
"LyveSET-Enterobase|collessPDA",0.06,-0.25,0.38,0.95
"LyveSET-KSNP3|collessPDA",0.08,-0.23,0.39,0.9
"Enterobase-CFSAN|collessYule",0.05,-0.03,0.14,0.37
"KSNP3-CFSAN|collessYule",0.03,-0.06,0.11,0.8
"LyveSET-CFSAN|collessYule",0.05,-0.04,0.13,0.46
"KSNP3-Enterobase|collessYule",-0.02,-0.11,0.06,0.89
"LyveSET-Enterobase|collessYule",-0.01,-0.09,0.08,1
"LyveSET-KSNP3|collessYule",0.02,-0.07,0.1,0.94
"Enterobase-CFSAN|gamma",1.91,0.07,3.76,0.04
"KSNP3-CFSAN|gamma",-0.65,-2.5,1.19,0.77
"LyveSET-CFSAN|gamma",-1.24,-3.08,0.61,0.28
"KSNP3-Enterobase|gamma",-2.57,-4.41,-0.72,0
"LyveSET-Enterobase|gamma",-3.15,-4.99,-1.31,0
"LyveSET-KSNP3|gamma",-0.58,-2.42,1.26,0.83
"Enterobase-CFSAN|sackinPDA",0.09,-0.06,0.23,0.38
"KSNP3-CFSAN|sackinPDA",0.07,-0.07,0.21,0.54
"LyveSET-CFSAN|sackinPDA",0.12,-0.02,0.26,0.12
"KSNP3-Enterobase|sackinPDA",-0.02,-0.16,0.13,0.99
"LyveSET-Enterobase|sackinPDA",0.03,-0.11,0.18,0.92
"LyveSET-KSNP3sackinPDA",0.05,-0.09,0.19,0.78
"Enterobase-CFSAN|sackinYule",0.08,-0.03,0.18,0.24
"KSNP3-CFSAN|sackinYule",0.03,-0.08,0.13,0.88
"LyveSET-CFSAN|sackinYule",0.06,-0.04,0.17,0.38
"KSNP3-Enterobase|sackinYule",-0.05,-0.15,0.06,0.64
"LyveSET-Enterobase|sackinYule",-0.01,-0.12,0.09,0.99
"LyveSET-KSNP3|sackinYule",0.03,-0.07,0.14,0.81
"Enterobase-CFSAN|totalClusters",-13.9,-18.42,-9.38,0
"KSNP3-CFSAN|totalClusters",0.5,-4.02,5.02,0.99
"LyveSET-CFSAN|totalClusters",-3.8,-8.32,0.72,0.12
"KSNP3-Enterobase|totalClusters",14.4,9.88,18.92,0
"LyveSET-Enterobase|totalClusters",10.1,5.58,14.62,0
"LyveSET-totalClusters",-4.3,-8.82,0.22,0.07
"Enterobase-CFSAN|outbreakClusters",-1,-1.62,-0.38,0
"KSNP3-CFSAN|outbreakClusters",-0.2,-0.82,0.42,0.82
"LyveSET-CFSAN|outbreakClusters",-0.4,-1.02,0.22,0.31
"KSNP3-Enterobase|outbreakClusters",0.8,0.18,1.42,0.01
"LyveSET-Enterobase|outbreakClusters",0.6,-0.02,1.22,0.06
"LyveSET-KSNP3|outbreakClusters",-0.2,-0.82,0.42,0.82
