"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"Enterobase-CFSAN|collessPDA",0.13,-0.35,0.61,0.43
"KSNP3-CFSAN|collessPDA",0.19,-0.2,0.58,0.19
"LyveSET-CFSAN|collessPDA",0.32,-0.07,0.71,0.07
"KSNP3-Enterobase|collessPDA",0.06,-0.42,0.53,0.85
"LyveSET-Enterobase|collessPDA",0.18,-0.29,0.66,0.27
"LyveSET-KSNP3|collessPDA",0.13,-0.26,0.52,0.34
"Enterobase-CFSAN|collessYule",1.21,-3.18,5.59,0.43
"KSNP3-CFSAN|collessYule",1.72,-1.86,5.3,0.19
"LyveSET-CFSAN|collessYule",2.9,-0.68,6.48,0.07
"KSNP3-Enterobase|collessYule",0.51,-3.87,4.9,0.85
"LyveSET-Enterobase|collessYule",1.69,-2.7,6.08,0.27
"LyveSET-KSNP3|collessYule",1.18,-2.4,4.76,0.34
"Enterobase-CFSAN|gamma",-2.02,-5.15,1.1,0.11
"KSNP3-CFSAN|gamma",-0.76,-3.31,1.79,0.39
"LyveSET-CFSAN|gamma",-0.69,-3.24,1.86,0.44
"KSNP3-Enterobase|gamma",1.26,-1.86,4.39,0.25
"LyveSET-Enterobase|gamma",1.33,-1.79,4.45,0.23
"LyveSET-KSNP3|gamma",0.07,-2.48,2.62,1
"Enterobase-CFSAN|sackinPDA",0.12,-0.28,0.52,0.39
"KSNP3-CFSAN|sackinPDA",0.15,-0.17,0.47,0.2
"LyveSET-CFSAN|sackinPDA",0.25,-0.08,0.57,0.08
"KSNP3-Enterobase|sackinPDA",0.03,-0.37,0.43,0.94
"LyveSET-Enterobase|sackinPDA",0.13,-0.27,0.52,0.35
"LyveSET-KSNP3sackinPDA",0.1,-0.23,0.42,0.39
"Enterobase-CFSAN|sackinYule",1.09,-2.54,4.72,0.39
"KSNP3-CFSAN|sackinYule",1.37,-1.59,4.34,0.2
"LyveSET-CFSAN|sackinYule",2.26,-0.71,5.22,0.08
"KSNP3-Enterobase|sackinYule",0.29,-3.35,3.92,0.94
"LyveSET-Enterobase|sackinYule",1.17,-2.47,4.8,0.35
"LyveSET-KSNP3|sackinYule",0.88,-2.09,3.85,0.39
"Enterobase-CFSAN|totalClusters",0,-27.06,27.06,1
"KSNP3-CFSAN|totalClusters",8,-14.09,30.09,0.3
"LyveSET-CFSAN|totalClusters",2.5,-19.59,24.59,0.86
"KSNP3-Enterobase|totalClusters",8,-19.06,35.06,0.39
"LyveSET-Enterobase|totalClusters",2.5,-24.56,29.56,0.91
"LyveSET-totalClusters",-5.5,-27.59,16.59,0.49
"Enterobase-CFSAN|outbreakClusters",0,-12.49,12.49,1
"KSNP3-CFSAN|outbreakClusters",3.5,-6.7,13.7,0.32
"LyveSET-CFSAN|outbreakClusters",0.5,-9.7,10.7,0.98
"KSNP3-Enterobase|outbreakClusters",3.5,-8.99,15.99,0.42
"LyveSET-Enterobase|outbreakClusters",0.5,-11.99,12.99,0.99
"LyveSET-KSNP3|outbreakClusters",-3,-13.2,7.2,0.4
