"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"Enterobase-CFSAN|collessPDA",0.17,-3.22,3.56,0.98
"KSNP3-CFSAN|collessPDA",-0.4,-3.16,2.37,0.77
"LyveSET-CFSAN|collessPDA",-0.1,-2.87,2.66,0.99
"KSNP3-Enterobase|collessPDA",-0.57,-3.96,2.82,0.7
"LyveSET-Enterobase|collessPDA",-0.28,-3.66,3.11,0.93
"LyveSET-KSNP3|collessPDA",0.29,-2.47,3.06,0.88
"Enterobase-CFSAN|collessYule",2.52,-43.39,48.44,0.98
"KSNP3-CFSAN|collessYule",-5.21,-42.7,32.28,0.78
"LyveSET-CFSAN|collessYule",-1.21,-38.7,36.28,0.99
"KSNP3-Enterobase|collessYule",-7.73,-53.65,38.18,0.7
"LyveSET-Enterobase|collessYule",-3.74,-49.65,42.18,0.93
"LyveSET-KSNP3|collessYule",4,-33.49,41.49,0.88
"Enterobase-CFSAN|gamma",-0.62,-5.03,3.8,0.78
"KSNP3-CFSAN|gamma",-0.63,-4.24,2.97,0.67
"LyveSET-CFSAN|gamma",-0.62,-4.22,2.98,0.69
"KSNP3-Enterobase|gamma",-0.02,-4.43,4.39,1
"LyveSET-Enterobase|gamma",0,-4.42,4.41,1
"LyveSET-KSNP3|gamma",0.01,-3.59,3.62,1
"Enterobase-CFSAN|sackinPDA",0.18,-3.02,3.39,0.97
"KSNP3-CFSAN|sackinPDA",-0.37,-2.99,2.25,0.78
"LyveSET-CFSAN|sackinPDA",-0.11,-2.73,2.51,0.99
"KSNP3-Enterobase|sackinPDA",-0.55,-3.76,2.65,0.68
"LyveSET-Enterobase|sackinPDA",-0.29,-3.5,2.92,0.91
"LyveSET-KSNP3sackinPDA",0.26,-2.36,2.88,0.89
"Enterobase-CFSAN|sackinYule",2.66,-40.79,46.1,0.97
"KSNP3-CFSAN|sackinYule",-4.84,-40.31,30.64,0.79
"LyveSET-CFSAN|sackinYule",-1.28,-36.76,34.19,0.99
"KSNP3-Enterobase|sackinYule",-7.49,-50.94,35.95,0.68
"LyveSET-Enterobase|sackinYule",-3.94,-47.39,39.5,0.91
"LyveSET-KSNP3|sackinYule",3.55,-31.92,39.02,0.89
"Enterobase-CFSAN|totalClusters",-4.5,-71.41,62.41,0.96
"KSNP3-CFSAN|totalClusters",5.5,-49.13,60.13,0.89
"LyveSET-CFSAN|totalClusters",-7,-61.63,47.63,0.82
"KSNP3-Enterobase|totalClusters",10,-56.91,76.91,0.75
"LyveSET-Enterobase|totalClusters",-2.5,-69.41,64.41,0.99
"LyveSET-totalClusters",-12.5,-67.13,42.13,0.53
"Enterobase-CFSAN|outbreakClusters",-2,-14.49,10.49,0.72
"KSNP3-CFSAN|outbreakClusters",-2,-12.2,8.2,0.62
"LyveSET-CFSAN|outbreakClusters",-3.5,-13.7,6.7,0.32
"KSNP3-Enterobase|outbreakClusters",0,-12.49,12.49,1
"LyveSET-Enterobase|outbreakClusters",-1.5,-13.99,10.99,0.84
"LyveSET-KSNP3|outbreakClusters",-1.5,-11.7,8.7,0.76
