"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"Enterobase-CFSAN|collessPDA",-0.39,-0.8,0.02,0.07
"KSNP3-CFSAN|collessPDA",-0.38,-0.72,-0.05,0.02
"LyveSET-CFSAN|collessPDA",-0.36,-0.7,-0.03,0.03
"KSNP3-Enterobase|collessPDA",0.01,-0.4,0.42,1
"LyveSET-Enterobase|collessPDA",0.03,-0.38,0.44,1
"LyveSET-KSNP3|collessPDA",0.02,-0.32,0.35,1
"Enterobase-CFSAN|collessYule",-0.46,-0.97,0.05,0.09
"KSNP3-CFSAN|collessYule",-0.45,-0.87,-0.03,0.03
"LyveSET-CFSAN|collessYule",-0.43,-0.85,-0.01,0.05
"KSNP3-Enterobase|collessYule",0.01,-0.5,0.52,1
"LyveSET-Enterobase|collessYule",0.03,-0.48,0.55,1
"LyveSET-KSNP3|collessYule",0.02,-0.4,0.44,1
"Enterobase-CFSAN|gamma",-0.93,-2.76,0.91,0.52
"KSNP3-CFSAN|gamma",-0.91,-2.41,0.59,0.36
"LyveSET-CFSAN|gamma",-1.36,-2.86,0.14,0.08
"KSNP3-Enterobase|gamma",0.02,-1.82,1.85,1
"LyveSET-Enterobase|gamma",-0.44,-2.27,1.4,0.91
"LyveSET-KSNP3|gamma",-0.45,-1.95,1.05,0.84
"Enterobase-CFSAN|sackinPDA",-0.32,-0.65,0,0.05
"KSNP3-CFSAN|sackinPDA",-0.31,-0.58,-0.04,0.02
"LyveSET-CFSAN|sackinPDA",-0.3,-0.57,-0.03,0.02
"KSNP3-Enterobase|sackinPDA",0.01,-0.32,0.34,1
"LyveSET-Enterobase|sackinPDA",0.02,-0.31,0.35,1
"LyveSET-KSNP3|sackinPDA",0.01,-0.26,0.28,1
"Enterobase-CFSAN|sackinYule",-0.47,-1.01,0.06,0.1
"KSNP3-CFSAN|sackinYule",-0.46,-0.9,-0.02,0.04
"LyveSET-CFSAN|sackinYule",-0.43,-0.87,0,0.05
"KSNP3-Enterobase|sackinYule",0.02,-0.52,0.55,1
"LyveSET-Enterobase|sackinYule",0.04,-0.5,0.58,1
"LyveSET-KSNP3|sackinYule",0.02,-0.42,0.46,1
"Enterobase-CFSAN|totalClusters",-0.49,-0.87,-0.1,0.01
"KSNP3-CFSAN|totalClusters",0.25,-0.07,0.57,0.16
"LyveSET-CFSAN|totalClusters",-0.02,-0.34,0.3,1
"KSNP3-Enterobase|totalClusters",0.74,0.35,1.12,0
"LyveSET-Enterobase|totalClusters",0.47,0.08,0.85,0.01
"LyveSET-KSNP3|totalClusters",-0.27,-0.59,0.05,0.11
"Enterobase-CFSAN|outbreakClusters",0.09,-0.67,0.84,0.99
"KSNP3-CFSAN|outbreakClusters",0.46,-0.16,1.08,0.2
"LyveSET-CFSAN|outbreakClusters",0.04,-0.58,0.66,1
"KSNP3-Enterobase|outbreakClusters",0.37,-0.38,1.13,0.54
"LyveSET-Enterobase|outbreakClusters",-0.05,-0.8,0.71,1
"LyveSET-KSNP3|outbreakClusters",-0.42,-1.04,0.2,0.27
