"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"Enterobase-CFSAN|collessPDA",-0.45,-1.97,1.07,0.57
"KSNP3-CFSAN|collessPDA",-0.16,-1.68,1.36,0.95
"LyveSET-CFSAN|collessPDA",0.23,-1.29,1.75,0.88
"KSNP3-Enterobase|collessPDA",0.28,-1.24,1.8,0.81
"LyveSET-Enterobase|collessPDA",0.68,-0.84,2.2,0.31
"LyveSET-KSNP3|collessPDA",0.39,-1.13,1.91,0.64
"Enterobase-CFSAN|collessYule",-0.89,-3.66,1.88,0.51
"KSNP3-CFSAN|collessYule",-0.17,-2.93,2.6,0.99
"LyveSET-CFSAN|collessYule",0.39,-2.37,3.16,0.9
"KSNP3-Enterobase|collessYule",0.72,-2.04,3.49,0.64
"LyveSET-Enterobase|collessYule",1.28,-1.48,4.05,0.29
"LyveSET-KSNP3|collessYule",0.56,-2.21,3.33,0.77
"Enterobase-CFSAN|gamma",4.89,-5.63,15.41,0.29
"KSNP3-CFSAN|gamma",0.59,-9.93,11.11,0.99
"LyveSET-CFSAN|gamma",-1.43,-11.95,9.08,0.91
"KSNP3-Enterobase|gamma",-4.3,-14.82,6.22,0.36
"LyveSET-Enterobase|gamma",-6.32,-16.84,4.19,0.17
"LyveSET-KSNP3|gamma",-2.02,-12.54,8.5,0.8
"Enterobase-CFSAN|sackinPDA",-0.3,-1.17,0.57,0.46
"KSNP3-CFSAN|sackinPDA",-0.14,-1.01,0.73,0.86
"LyveSET-CFSAN|sackinPDA",0.13,-0.74,1,0.89
"KSNP3-Enterobase|sackinPDA",0.16,-0.71,1.03,0.81
"LyveSET-Enterobase|sackinPDA",0.43,-0.44,1.3,0.26
"LyveSET-KSNP3sackinPDA",0.27,-0.6,1.14,0.53
"Enterobase-CFSAN|sackinYule",-0.97,-3.35,1.4,0.36
"KSNP3-CFSAN|sackinYule",-0.2,-2.58,2.17,0.97
"LyveSET-CFSAN|sackinYule",0.39,-1.98,2.77,0.85
"KSNP3-Enterobase|sackinYule",0.77,-1.61,3.15,0.5
"LyveSET-Enterobase|sackinYule",1.37,-1.01,3.74,0.19
"LyveSET-KSNP3|sackinYule",0.6,-1.78,2.97,0.66
"Enterobase-CFSAN|totalClusters",-0.5,-13.72,12.72,1
"KSNP3-CFSAN|totalClusters",4,-9.22,17.22,0.55
"LyveSET-CFSAN|totalClusters",-0.5,-13.72,12.72,1
"KSNP3-Enterobase|totalClusters",4.5,-8.72,17.72,0.47
"LyveSET-Enterobase|totalClusters",0,-13.22,13.22,1
"LyveSET-totalClusters",-4.5,-17.72,8.72,0.47
"Enterobase-CFSAN|outbreakClusters",0.5,-12.11,13.11,1
"KSNP3-CFSAN|outbreakClusters",3,-9.61,15.61,0.69
"LyveSET-CFSAN|outbreakClusters",-0.5,-13.11,12.11,1
"KSNP3-Enterobase|outbreakClusters",2.5,-10.11,15.11,0.78
"LyveSET-Enterobase|outbreakClusters",-1,-13.61,11.61,0.98
"LyveSET-KSNP3|outbreakClusters",-3.5,-16.11,9.11,0.6
