"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"Enterobase-CFSAN|collessPDA",-0.95,-3.42,1.53,0.4
"KSNP3-CFSAN|collessPDA",-0.58,-3.06,1.89,0.7
"LyveSET-CFSAN|collessPDA",-0.35,-2.83,2.12,0.89
"KSNP3-Enterobase|collessPDA",0.36,-2.11,2.84,0.89
"LyveSET-Enterobase|collessPDA",0.59,-1.88,3.07,0.69
"LyveSET-KSNP3|collessPDA",0.23,-2.25,2.7,0.97
"Enterobase-CFSAN|collessYule",-1.73,-4.9,1.45,0.21
"KSNP3-CFSAN|collessYule",-0.71,-3.89,2.46,0.72
"LyveSET-CFSAN|collessYule",-0.4,-3.58,2.77,0.92
"KSNP3-Enterobase|collessYule",1.02,-2.16,4.19,0.51
"LyveSET-Enterobase|collessYule",1.33,-1.85,4.5,0.35
"LyveSET-KSNP3|collessYule",0.31,-2.86,3.49,0.96
"Enterobase-CFSAN|gamma",0.11,-1.87,2.09,0.99
"KSNP3-CFSAN|gamma",0,-1.98,1.98,1
"LyveSET-CFSAN|gamma",-0.04,-2.01,1.94,1
"KSNP3-Enterobase|gamma",-0.11,-2.09,1.87,0.99
"LyveSET-Enterobase|gamma",-0.15,-2.13,1.83,0.98
"LyveSET-KSNP3|gamma",-0.04,-2.01,1.94,1
"Enterobase-CFSAN|sackinPDA",-0.66,-2.61,1.3,0.48
"KSNP3-CFSAN|sackinPDA",-0.48,-2.43,1.47,0.67
"LyveSET-CFSAN|sackinPDA",-0.32,-2.27,1.63,0.86
"KSNP3-Enterobase|sackinPDA",0.18,-1.77,2.13,0.97
"LyveSET-Enterobase|sackinPDA",0.34,-1.61,2.29,0.84
"LyveSET-KSNP3|sackinPDA",0.16,-1.79,2.11,0.97
"Enterobase-CFSAN|sackinYule",-1.82,-4.98,1.33,0.19
"KSNP3-CFSAN|sackinYule",-0.74,-3.9,2.41,0.7
"LyveSET-CFSAN|sackinYule",-0.43,-3.58,2.72,0.91
"KSNP3-Enterobase|sackinYule",1.08,-2.07,4.23,0.47
"LyveSET-Enterobase|sackinYule",1.39,-1.76,4.55,0.32
"LyveSET-KSNP3|sackinYule",0.31,-2.84,3.46,0.96
"Enterobase-CFSAN|totalClusters",-5.5,-36.19,25.19,0.82
"KSNP3-CFSAN|totalClusters",2.5,-28.19,33.19,0.98
"LyveSET-CFSAN|totalClusters",-5.5,-36.19,25.19,0.82
"KSNP3-Enterobase|totalClusters",8,-22.69,38.69,0.64
"LyveSET-Enterobase|totalClusters",0,-30.69,30.69,1
"LyveSET-KSNP3|totalClusters",-8,-38.69,22.69,0.64
"Enterobase-CFSAN|outbreakClusters",0.5,-7.07,8.07,0.99
"KSNP3-CFSAN|outbreakClusters",1.5,-6.07,9.07,0.78
"LyveSET-CFSAN|outbreakClusters",-0.5,-8.07,7.07,0.99
"KSNP3-Enterobase|outbreakClusters",1,-6.57,8.57,0.91
"LyveSET-Enterobase|outbreakClusters",-1,-8.57,6.57,0.91
"LyveSET-KSNP3|outbreakClusters",-2,-9.57,5.57,0.63
