"","Pipeline.diff","Pipeline.lwr","Pipeline.upr","Pipeline.p.adj"
"Enterobase-CFSAN|collessPDA",-0.47,-0.87,-0.06,0.02
"KSNP3-CFSAN|collessPDA",-0.16,-0.57,0.25,0.72
"LyveSET-CFSAN|collessPDA",-0.22,-0.63,0.18,0.45
"KSNP3-Enterobase|collessPDA",0.31,-0.1,0.72,0.19
"LyveSET-Enterobase|collessPDA",0.24,-0.17,0.65,0.39
"LyveSET-KSNP3|collessPDA",-0.07,-0.47,0.34,0.97
"Enterobase-CFSAN|collessYule",-0.69,-1.24,-0.13,0.01
"KSNP3-CFSAN|collessYule",-0.15,-0.7,0.41,0.89
"LyveSET-CFSAN|collessYule",-0.23,-0.79,0.33,0.67
"KSNP3-Enterobase|collessYule",0.54,-0.02,1.1,0.06
"LyveSET-Enterobase|collessYule",0.45,-0.1,1.01,0.14
"LyveSET-KSNP3|collessYule",-0.09,-0.64,0.47,0.97
"Enterobase-CFSAN|gamma",1.75,-0.44,3.93,0.15
"KSNP3-CFSAN|gamma",0.37,-1.82,2.55,0.97
"LyveSET-CFSAN|gamma",-1.49,-3.68,0.69,0.27
"KSNP3-Enterobase|gamma",-1.38,-3.57,0.8,0.33
"LyveSET-Enterobase|gamma",-3.24,-5.43,-1.06,0
"LyveSET-KSNP3|gamma",-1.86,-4.04,0.33,0.12
"Enterobase-CFSAN|sackinPDA",-0.35,-0.66,-0.04,0.02
"KSNP3-CFSAN|sackinPDA",-0.15,-0.46,0.16,0.55
"LyveSET-CFSAN|sackinPDA",-0.2,-0.51,0.11,0.3
"KSNP3-Enterobase|sackinPDA",0.2,-0.11,0.51,0.3
"LyveSET-Enterobase|sackinPDA",0.15,-0.16,0.46,0.55
"LyveSET-KSNP3|sackinPDA",-0.05,-0.36,0.26,0.97
"Enterobase-CFSAN|sackinYule",-0.72,-1.3,-0.15,0.01
"KSNP3-CFSAN|sackinYule",-0.16,-0.73,0.42,0.88
"LyveSET-CFSAN|sackinYule",-0.25,-0.83,0.33,0.65
"KSNP3-Enterobase|sackinYule",0.57,-0.01,1.14,0.05
"LyveSET-Enterobase|sackinYule",0.47,-0.1,1.05,0.14
"LyveSET-KSNP3|sackinYule",-0.09,-0.67,0.48,0.97
"Enterobase-CFSAN|totalClusters",-14.1,-19.76,-8.44,0
"KSNP3-CFSAN|totalClusters",2.5,-3.16,8.16,0.63
"LyveSET-CFSAN|totalClusters",-6.4,-12.06,-0.74,0.02
"KSNP3-Enterobase|totalClusters",16.6,10.94,22.26,0
"LyveSET-Enterobase|totalClusters",7.7,2.04,13.36,0
"LyveSET-KSNP3|totalClusters",-8.9,-14.56,-3.24,0
"Enterobase-CFSAN|outbreakClusters",-1.6,-4.43,1.23,0.43
"KSNP3-CFSAN|outbreakClusters",2.9,0.07,5.73,0.04
"LyveSET-CFSAN|outbreakClusters",-0.6,-3.43,2.23,0.94
"KSNP3-Enterobase|outbreakClusters",4.5,1.67,7.33,0
"LyveSET-Enterobase|outbreakClusters",1,-1.83,3.83,0.77
"LyveSET-KSNP3|outbreakClusters",-3.5,-6.33,-0.67,0.01
