Run,Serotype
SRR2132211,O103
SRR2125878,uncertain
SRR2103770,O157
SRR2015683,uncertain
SRR1982227,OX13
SRR1658097,O157
ecolioutbreakSRR1649238,O121
ecolioutbreakSRR1649237,O121
ecolioutbreakSRR1649236,O121
ecolioutbreakSRR1609871,O121
ecolioutbreakSRR1609862,O121
ecolioutbreakSRR1609861,O121
ecolioutbreakSRR2481229,O121
ecolioutbreakSRR2481225,O121
ecolioutbreakSRR2481224,O121
ecolioutbreakSRR2481220,O121
ecolioutbreakSRR2417034,O121
SRR2814840,O103
ecolioutbreakSRR3371990,O121
ecolioutbreakSRR3371926,O121
SRR3406057,O111
ecolioutbreakSRR3068646,O121
SRR1816755,O111
SRR1816736,O157
SRR1816729,O157
SRR1816697,O145
SRR1816686,O111
SRR1816439,uncertain
SRR1816430,O157
SRR1816412,O157
SRR1816030,O110
SRR1816029,O51
SRR1815622,O17 or O77
SRR1815621,O174
SRR1815604,O54
SRR1815599,O12
SRR1815588,uncertain
SRR1815586,O39
SRR1815576,uncertain
SRR1815568,uncertain
SRR1815553,uncertain
SRR1815524,O129 or O13
SRR1815506,O54
SRR1815455,O18
SRR1815452,uncertain
SRR1814827,O26
SRR1814820,O63
SRR1814814,O63
SRR1814796,O91
SRR5043174,O103
SRR5589516,O103
SRR5589507,O45
SRR5650512,O157
SRR5649992,O157
SRR6219338,O25
SRR6764088,O82
SRR6900329,uncertain
SRR7439323,uncertain
SRR8095972,O8
SRR8095673,O125
SRR8095738,O15
SRR8095750,O51
SRR8095802,O18
SRR8095393,uncertain
SRR8095478,uncertain
SRR8095565,uncertain
SRR8095567,O17 or O77
SRR8095576,O10
SRR8666071,uncertain
SRR8902443,O157
SRR8950125,O157
SRR9002305,O174
SRR9002349,O8
SRR9002363,O54
SRR9302946,OX10
SRR9707420,O21
SRR9829544,uncertain
SRR9852786,uncertain
SRR9984840,O25
SRR9984903,O21
SRR9984538,uncertain
SRR9984580,O18
SRR9984603,O81
SRR9984682,O83
SRR9984734,uncertain
SRR10030064,O107
SRR10166241,uncertain
SRR10233001,uncertain
SRR10325493,D13
SRR10360912,uncertain
SRR10030174,O8
SRR10579913,O4
SRR10579975,O51
SRR10810350,uncertain
SRR10687760,O84
SRR10687845,O36
SRR10687847,O89
SRR10687927,O54
SRR10843511,O112
SRR11067580,O8
SRR11449318,O8
SRR11799667,O26
SRR11892948,uncertain
SRR12472134,O157
SRR12704887,O117
SRR12704914,O128
SRR12705027,O103
SRR12775115,uncertain
SRR12849829,O36
SRR12849856,O25
SRR12974196,uncertain
SRR13059445,O153
