Run,Status
ecolioutbreakSRR2417034,Investigated-Isolate-Non-outbreak
ecolioutbreakSRR3068646,Investigated-Isolate-Non-outbreak
ecolioutbreakSRR3371926,Investigated-Isolate-Non-outbreak
ecolioutbreakSRR3371990,Investigated-Isolate-Non-outbreak
ecolioutbreakSRR1609861,Investigated-Isolate-Outbreak
ecolioutbreakSRR1609862,Investigated-Isolate-Outbreak
ecolioutbreakSRR1609871,Investigated-Isolate-Outbreak
ecolioutbreakSRR1649236,Investigated-Isolate-Outbreak
ecolioutbreakSRR1649237,Investigated-Isolate-Outbreak
ecolioutbreakSRR2481229,Investigated-Isolate-Outbreak
ecolioutbreakSRR1649238,Non-investigated-Isolate-Unknown-Status
ecolioutbreakSRR2481220,Non-investigated-Isolate-Unknown-Status
ecolioutbreakSRR2481224,Non-investigated-Isolate-Unknown-Status
ecolioutbreakSRR2481225,Non-investigated-Isolate-Unknown-Status
SRR1815455,Non-investigated-Isolate-SampleType
SRR2015683,Non-investigated-Isolate-SampleType
SRR1816430,Non-investigated-Isolate-SampleType
SRR1816412,Non-investigated-Isolate-SampleType
SRR1658097,Non-investigated-Isolate-SampleType
SRR11892948,Non-investigated-Isolate-SampleType
SRR9302946,Non-investigated-Isolate-SampleType
SRR1815576,Non-investigated-Isolate-SampleType
SRR9984682,Non-investigated-Isolate-SampleType
SRR10030174,Non-investigated-Isolate-SampleType
SRR1982227,Non-investigated-Isolate-SampleType
SRR1816029,Non-investigated-Isolate-SampleType
SRR8095673,Non-investigated-Isolate-SampleType
SRR10360912,Non-investigated-Isolate-SampleType
SRR7439323,Non-investigated-Isolate-SampleType
SRR5589507,Non-investigated-Isolate-SampleType
SRR5589516,Non-investigated-Isolate-SampleType
SRR2814840,Non-investigated-Isolate-SampleType
SRR10233001,Non-investigated-Isolate-SampleType
SRR5043174,Non-investigated-Isolate-SampleType
SRR2125878,Non-investigated-Isolate-SampleType
SRR1815452,Non-investigated-Isolate-SampleType
SRR10843511,Non-investigated-Isolate-SampleType
SRR6764088,Non-investigated-Isolate-SampleType
SRR8095478,Non-investigated-Isolate-SampleType
SRR10030064,Non-investigated-Isolate-SampleType
SRR9707420,Non-investigated-Isolate-SampleType
SRR10687760,Non-investigated-Isolate-SampleType
SRR1815621,Non-investigated-Isolate-SampleType
SRR9852786,Non-investigated-Isolate-SampleType
SRR12704914,Non-investigated-Isolate-SampleType
SRR1814796,Non-investigated-Isolate-SampleType
SRR9002349,Non-investigated-Isolate-SampleType
SRR13059445,Non-investigated-Isolate-SampleType
SRR1816439,Non-investigated-Isolate-SampleType
