Run,Status
salmonellaoutbreakSRR3322059,Investigated-Isolate-Non-outbreak
salmonellaoutbreakSRR1967879,Investigated-Isolate-Non-outbreak
salmonellaoutbreakSRR498276,Investigated-Isolate-Non-outbreak
salmonellaoutbreakSRR498369,Investigated-Isolate-Non-outbreak
salmonellaoutbreakSRR498373,Investigated-Isolate-Non-outbreak
salmonellaoutbreakSRR500494,Investigated-Isolate-Non-outbreak
salmonellaoutbreakSRR500493,Investigated-Isolate-Non-outbreak
salmonellaoutbreakSRR1258589,Investigated-Isolate-Non-outbreak
salmonellaoutbreakSRR498397,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498398,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498399,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498400,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498402,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498403,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498404,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498422,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498423,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498424,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498425,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498427,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498428,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498430,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498431,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498432,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498433,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498434,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498435,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498436,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498438,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498439,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498440,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498441,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498442,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498443,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR498444,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR516407,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR516410,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR3379330,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR516427,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR1258441,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR1258435,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR1258436,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR1258437,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR1258438,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR1258439,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR1258442,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR1258443,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR1258440,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR3383904,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR3223737,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR1638899,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR3383989,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR3383990,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR1212212,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR2671497,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR2671498,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR2671499,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR2671500,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR2671502,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR2671501,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR2671503,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR2671504,Investigated-Isolate-Outbreak
salmonellaoutbreakSRR1067610,Investigated-Isolate-Outbreak
