cgmlst_ST,cgmlst_distance,cgmlst_found_loci,cgmlst_genome_match,cgmlst_matching_alleles,cgmlst_subspecies,fasta_filepath,genome,h1,h2,o_antigen,qc_messages,qc_status,serogroup,serovar,serovar_antigen,serovar_cgmlst
1910445571,0.027272727272727226,330,SRR3930408,321,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Salm_host_poultry/DRR107057.skesa.fa,DRR107057.skesa,i,-,"1,4,[5],12",INFO: Number of cgMLST330 loci found (n=330),PASS,B,"I 1,4,[5],12:i:-","I 1,4,[5],12:i:-",Typhimurium
,0.048484848484848464,324,ERR769317,314,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Salm_host_poultry/ERR2000396.skesa.fa,ERR2000396.skesa,i,-,"1,4,[5],12",INFO: Number of cgMLST330 loci found (n=324),PASS,B,"I 1,4,[5],12:i:-","I 1,4,[5],12:i:-",Typhimurium
619044508,0.027272727272727226,330,SRR3285454,321,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Salm_host_poultry/ERR2023522.skesa.fa,ERR2023522.skesa,i,-,"1,4,[5],12",INFO: Number of cgMLST330 loci found (n=330),PASS,B,"I 1,4,[5],12:i:-","I 1,4,[5],12:i:-",Typhimurium
7401310,0.012121212121212088,330,2015-SEQ-0910,326,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Salm_host_poultry/ERR2023524.skesa.fa,ERR2023524.skesa,i,"1,2","1,4,[5],12",INFO: Number of cgMLST330 loci found (n=330),PASS,B,Typhimurium,Typhimurium|Lagos,Typhimurium
769637414,0.030303030303030276,330,SRR3322724,320,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Salm_host_poultry/ERR2023531.skesa.fa,ERR2023531.skesa,i,-,"1,4,[5],12",INFO: Number of cgMLST330 loci found (n=330),PASS,B,"I 1,4,[5],12:i:-","I 1,4,[5],12:i:-",Typhimurium
4109176389,0.024242424242424288,330,SRR4098785,322,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Salm_host_poultry/ERR2023554.skesa.fa,ERR2023554.skesa,i,-,"1,4,[5],12",INFO: Number of cgMLST330 loci found (n=330),PASS,B,"I 1,4,[5],12:i:-","I 1,4,[5],12:i:-",Typhimurium
4109176389,0.024242424242424288,330,SRR4098785,322,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Salm_host_poultry/ERR2023576.skesa.fa,ERR2023576.skesa,i,-,"1,4,[5],12",INFO: Number of cgMLST330 loci found (n=330),PASS,B,"I 1,4,[5],12:i:-","I 1,4,[5],12:i:-",Typhimurium
2561086312,0.054545454545454564,330,SRR1965159,312,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Salm_host_poultry/ERR2194295.skesa.fa,ERR2194295.skesa,"l,z13","e,n,x","1,9,12",INFO: Number of cgMLST330 loci found (n=330),PASS,D1,Napoli,Zaiman|Goettingen|Napoli|York|Toronto|Nordrhein,Napoli
3319173165,0.045454545454545414,330,SRR1965159,315,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Salm_host_poultry/ERR2194404.skesa.fa,ERR2194404.skesa,"l,z13","e,n,x","1,9,12",INFO: Number of cgMLST330 loci found (n=330),PASS,D1,Napoli,Zaiman|Goettingen|Napoli|York|Toronto|Nordrhein,Napoli
4109176389,0.024242424242424288,330,SRR4098785,322,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Salm_host_poultry/ERR2208752.skesa.fa,ERR2208752.skesa,i,"1,2","1,4,[5],12",INFO: Number of cgMLST330 loci found (n=330),PASS,B,Typhimurium,Typhimurium|Lagos,Typhimurium
