cgmlst_ST,cgmlst_distance,cgmlst_found_loci,cgmlst_genome_match,cgmlst_matching_alleles,cgmlst_subspecies,fasta_filepath,genome,h1,h2,o_antigen,qc_messages,qc_status,serogroup,serovar,serovar_antigen,serovar_cgmlst
2105091628,0.024242424242424288,330,SRR4121060,322,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/Outbreak_genomes/genomes_final_salmonella_outbreak/salmonellaoutbreakSRR1067610.skesa.fa,salmonellaoutbreakSRR1067610.skesa,y,"1,5","6,7,14",INFO: Number of cgMLST330 loci found (n=330),PASS,C1,Bareilly,Richmond|Bareilly|Solt,Bareilly
540352886,0.030303030303030276,330,SRR4123060,320,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/Outbreak_genomes/genomes_final_salmonella_outbreak/salmonellaoutbreakSRR1212212.skesa.fa,salmonellaoutbreakSRR1212212.skesa,y,"1,5","6,7,14",INFO: Number of cgMLST330 loci found (n=330),PASS,C1,Bareilly,Richmond|Bareilly|Solt,Bareilly
4091513777,0.045454545454545414,330,SRR4202536,315,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/Outbreak_genomes/genomes_final_salmonella_outbreak/salmonellaoutbreakSRR1258435.skesa.fa,salmonellaoutbreakSRR1258435.skesa,y,"1,5","6,7,14",INFO: Number of cgMLST330 loci found (n=330) | WARNING: Input genome size (10006962 bp) not within expected range of 4000000-6000000 (bp) for Salmonella,WARNING,C1,Bareilly,Richmond|Bareilly|Solt,Bareilly
,0.045454545454545414,326,SRR4121060,315,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/Outbreak_genomes/genomes_final_salmonella_outbreak/salmonellaoutbreakSRR1258436.skesa.fa,salmonellaoutbreakSRR1258436.skesa,y,"1,5","6,7,14",FAIL: Wzx/Wzy genes missing. Cannot determine O-antigen group/serogroup. Cannot accurately predict serovar from antigen genes. | INFO: Number of cgMLST330 loci found (n=326),FAIL,-,Bareilly,Coeln|Trachau|Richmond|Bareilly|Giza|Lamphun|Brunei|Tananarive|Amager|Orion|Gatineau|Solt|Saphra|Ibaragi|Oskarshamn|Nima|Matopeni|Bietri|Steinwerder|Freetown|Anfo|Windermere|Odienne|Farcha|Kingabwa,Bareilly
1821675282,0.027272727272727226,330,SRR4121328,321,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/Outbreak_genomes/genomes_final_salmonella_outbreak/salmonellaoutbreakSRR1258437.skesa.fa,salmonellaoutbreakSRR1258437.skesa,y,"1,5","6,7,14",INFO: Number of cgMLST330 loci found (n=330),PASS,C1,Bareilly,Richmond|Bareilly|Solt,Bareilly
1821675282,0.027272727272727226,330,SRR4121328,321,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/Outbreak_genomes/genomes_final_salmonella_outbreak/salmonellaoutbreakSRR1258438.skesa.fa,salmonellaoutbreakSRR1258438.skesa,y,"1,5","6,7,14",INFO: Number of cgMLST330 loci found (n=330),PASS,F,Bareilly,Richmond|Bareilly|Solt,Bareilly
302066096,0.027272727272727226,330,SRR4123060,321,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/Outbreak_genomes/genomes_final_salmonella_outbreak/salmonellaoutbreakSRR1258439.skesa.fa,salmonellaoutbreakSRR1258439.skesa,y,"1,5","6,7,14",INFO: Number of cgMLST330 loci found (n=330),PASS,C1,Bareilly,Richmond|Bareilly|Solt,Bareilly
1330458346,0.021212121212121238,330,SRR4123060,323,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/Outbreak_genomes/genomes_final_salmonella_outbreak/salmonellaoutbreakSRR1258440.skesa.fa,salmonellaoutbreakSRR1258440.skesa,y,"1,5","6,7,14",INFO: Number of cgMLST330 loci found (n=330),PASS,F,Bareilly,Richmond|Bareilly|Solt,Bareilly
,0.027272727272727226,329,SRR4123060,321,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/Outbreak_genomes/genomes_final_salmonella_outbreak/salmonellaoutbreakSRR1258441.skesa.fa,salmonellaoutbreakSRR1258441.skesa,y,"1,5","6,7,14",INFO: Number of cgMLST330 loci found (n=329),PASS,C1,Bareilly,Richmond|Bareilly|Solt,Bareilly
2105091628,0.024242424242424288,330,SRR4121060,322,enterica,/scratch.global/fermx014/FMPRE/Raw_datasets/Outbreak_genomes/genomes_final_salmonella_outbreak/salmonellaoutbreakSRR1258442.skesa.fa,salmonellaoutbreakSRR1258442.skesa,y,"1,5","6,7,14",INFO: Number of cgMLST330 loci found (n=330),PASS,C1,Bareilly,Richmond|Bareilly|Solt,Bareilly
