Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ERR1195697.skesa	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.892;wzy:0.957;fliC:1;	O25-3-wzx;O25-2-wzy-origin;H4-2-fliC-origin;	95.904;95.673;100;	93;100;100;	Contig_49_55.9782;Contig_24_25.6347;Contig_43_51.3329;	1-1172;88-1150;38203-39252;	1172;1063;1050;	v1.0 (11-03-2020)	-
ERR1617747.skesa	-	O102	H6	O102:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O102-6-wzx;O102-9-wzy;H6-17-fliC;	100;100;100;	100;100;100;	Contig_21_44.8891;Contig_21_44.8891;Contig_19_39.5928;	115476-116663;117666-118796;30016-31668;	1188;1131;1653;	v1.0 (11-03-2020)	-
ERR163891.skesa	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	Contig_101_153.719;Contig_101_153.719;Contig_55_151.126;	622076-623335;625488-626550;38545-39594;	1260;1063;1050;	v1.0 (11-03-2020)	-
ERR1822442.skesa	-	O4	H5	O4:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O4-1-wzx-origin;O4-2-wzy-origin;H5-2-fliC-origin;	100;100;100;	100;100;100;	Contig_99_47.3852;Contig_99_47.3852;Contig_108_47.778;	12384-13622;10301-11488;206163-207473;	1239;1188;1311;	v1.0 (11-03-2020)	-
ERR3642326.skesa	-	O45	H6	O45:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O45-2-wzx-origin;O45-5-wzy-origin;H6-17-fliC;	100;100;99.638;	100;100;100;	Contig_83_101.495;Contig_83_101.495;Contig_26_102.616;	110364-111626;108316-109407;6549-8207;	1263;1092;1659;	v1.0 (11-03-2020)	-
ERR3650438.skesa	-	O2	H1	O2:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-6-wzx;O2-13-wzy;H1-1-fliC-origin;	100;100;100;	100;100;100;	Contig_76_60.2967;Contig_76_60.2967;Contig_10_52.9998;	10324-11586;13298-14260;369740-371527;	1263;963;1788;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
ERR4046214.skesa	-	-	H9	-:H9	-	Based on 1 allele(s)	fliC:1;	H9-1-fliC-origin;	99.95;	100;	Contig_48_42.3995;	58105-60117;	2013;	v1.0 (11-03-2020)	-
SRR10063243.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_150_30.4882;Contig_150_30.4882;Contig_4_92.8696;	1941-3332;73-1239;11296-13053;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR10129655.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_121_202.534;Contig_121_202.534;Contig_5_195.038;	65425-66816;63557-64723;11296-13053;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR10138181.skesa	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	Contig_4_82.0075;Contig_4_82.0075;Contig_9_79.6847;	358351-359610;361763-362825;6764-7813;	1260;1063;1050;	v1.0 (11-03-2020)	-
