Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
SRR10030064.skesa	-	O107/O117	H27	O107/O117:H27	-	Based on 2 allele(s)	wzx:0.93;fliC:1;	O107-1-wzx-origin;H27-11-fliC;	100;100;	93;100;	Contig_190_11.3121;Contig_115_53.896;	1-1135;39891-41351;	1135;1461;	v1.0 (11-03-2020)	High similarity O-antigen group 8:O107/O117 as per A.Iguchi et.al (PMID: 25428893)
SRR10030174.skesa	-	O8	H7	O8:H7	-	Based on 3 allele(s)	wzm:0.996;wzt:0.997;fliC:1;	O8-13-wzm;O8-4-wzt-origin;H7-6-fliC-origin;	99.623;99.671;100;	100;100;100;	Contig_7_48.8361;Contig_7_48.8361;Contig_40_48.5277;	15349-16143;16143-17357;42633-44390;	795;1215;1758;	v1.0 (11-03-2020)	-
SRR10166241.skesa	-	-	H11	-:H11	-	Based on 1 allele(s)	fliC:1;	H11-4-fliC;	100;	100;	Contig_27_81.1449;	63943-65401;	1459;	v1.0 (11-03-2020)	-
SRR10233001.skesa	-	-	H2	-:H2	-	Based on 1 allele(s)	fliC:1;	H2-2-fliC-origin;	100;	100;	Contig_55_134.84;	31162-32655;	1494;	v1.0 (11-03-2020)	-
SRR10325493.skesa	-	O150	H8	O150:H8	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O150-4-wzx;O150-7-wzy;H8-2-fliC-origin;	100;100;100;	100;100;100;	Contig_24_18.3776;Contig_24_18.3776;Contig_64_18.1409;	107261-108763;102286-103383;6981-8459;	1503;1098;1479;	v1.0 (11-03-2020)	-
SRR10360912.skesa	-	-	H2	-:H2	-	Based on 1 allele(s)	fliC:1;	H2-2-fliC-origin;	100;	100;	Contig_27_119.343;	5018-6511;	1494;	v1.0 (11-03-2020)	-
SRR10579913.skesa	-	O4	H11	O4:H11	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O4-3-wzx;O4-6-wzy;H11-4-fliC;	99.919;100;100;	100;100;100;	Contig_31_41.5132;Contig_31_41.5132;Contig_31_41.5132;	258738-259976;256655-257842;140987-142445;	1239;1188;1459;	v1.0 (11-03-2020)	-
SRR10579975.skesa	-	O51	H10	O51:H10	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O51-3-wzx;O51-5-wzy;H10-17-fliC;	100;99.904;99.921;	100;100;100;	Contig_47_65.7628;Contig_47_65.7628;Contig_96_63.2316;	25852-27411;23939-24976;92208-93470;	1560;1038;1263;	v1.0 (11-03-2020)	-
SRR10687760.skesa	-	O84	H2	O84:H2	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O84-3-wzx;O84-5-wzy;H2-16-fliC;	100;99.913;100;	100;100;100;	Contig_27_70.0609;Contig_27_70.0609;Contig_67_65.9825;	33766-35160;29947-31098;46664-48157;	1395;1152;1494;	v1.0 (11-03-2020)	-
SRR10687845.skesa	-	O36	H9	O36:H9	-	Based on 2 allele(s)	wzx:1;fliC:0.99;	O36-1-wzx-origin;H9-5-fliC;	100;99.255;	100;100;	Contig_38_42.0042;Contig_49_53.6695;	1752-2996;6374-8386;	1245;2013;	v1.0 (11-03-2020)	-
