Run,Status,ClusterNumber
listeriaoutbreakSRR1206159,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR2914365,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR1393979,Investigated-Isolate-Non-outbreak,-1
listeriaoutbreakSRR3171856,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR1562157,Investigated-Isolate-Non-outbreak,5
listeriaoutbreakSRR1597501,Investigated-Isolate-Non-outbreak,-1
listeriaoutbreakSRR1695792,Investigated-Isolate-Non-outbreak,9
listeriaoutbreakSRR1695809,Investigated-Isolate-Non-outbreak,-1
listeriaoutbreakSRR1695811,Investigated-Isolate-Non-outbreak,9
listeriaoutbreakSRR1695812,Investigated-Isolate-Non-outbreak,-1
listeriaoutbreakSRR1695823,Investigated-Isolate-Non-outbreak,10
listeriaoutbreakSRR1746769,Investigated-Isolate-Non-outbreak,10
listeriaoutbreakSRR1695840,Investigated-Isolate-Non-outbreak,10
listeriaoutbreakSRR1695848,Investigated-Isolate-Non-outbreak,-1
listeriaoutbreakSRR1745438,Investigated-Isolate-Non-outbreak,-1
listeriaoutbreakSRR1745445,Investigated-Isolate-Non-outbreak,8
listeriaoutbreakSRR1745449,Investigated-Isolate-Non-outbreak,10
listeriaoutbreakSRR1745457,Investigated-Isolate-Non-outbreak,9
listeriaoutbreakSRR1745460,Investigated-Isolate-Non-outbreak,8
listeriaoutbreakSRR2051132,Investigated-Isolate-Non-outbreak,9
listeriaoutbreakSRR1746770,Investigated-Isolate-Non-outbreak,-1
listeriaoutbreakSRR1745482,Investigated-Isolate-Non-outbreak,8
listeriaoutbreakSRR1745488,Investigated-Isolate-Non-outbreak,8
listeriaoutbreakSRR1949651,Investigated-Isolate-Non-outbreak,10
listeriaoutbreakSRR1779500,Investigated-Isolate-Non-outbreak,6
listeriaoutbreakSRR1996277,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR2040647,Investigated-Isolate-Non-outbreak,6
listeriaoutbreakSRR2049090,Investigated-Isolate-Non-outbreak,8
listeriaoutbreakSRR2086095,Investigated-Isolate-Non-outbreak,5
listeriaoutbreakSRR2154030,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR2485319,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR2564618,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR2584373,Investigated-Isolate-Non-outbreak,4
listeriaoutbreakSRR2954295,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR2914415,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR2914416,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR2918065,Investigated-Isolate-Non-outbreak,4
listeriaoutbreakSRR2954311,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR3139469,Investigated-Isolate-Non-outbreak,-1
listeriaoutbreakSRR3102198,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR2994383,Investigated-Isolate-Non-outbreak,4
listeriaoutbreakSRR3062677,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR3067414,Investigated-Isolate-Non-outbreak,-1
listeriaoutbreakSRR3062678,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR3096926,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR3096930,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR3103858,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR3137005,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR3137009,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR3115274,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR3147943,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR3178063,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR3176164,Investigated-Isolate-Non-outbreak,7
listeriaoutbreakSRR3199548,Investigated-Isolate-Non-outbreak,7
