ID	SEROTYPE	PRS	LMO0737	LMO1118	ORF2110	ORF2819	COMMENT
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1206159.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1393979.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1534987.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553739.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553756.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553773.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553774.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553788.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553791.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553792.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553804.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553816.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553821.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553826.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553827.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553851.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553856.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553867.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553882.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1553907.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1556288.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1556289.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1556290.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1556291.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
/scratch.global/fermx014/FMPRE/Raw_datasets/100_genome_datasets/100genomes_Listeria_geography_NY/listeriaoutbreakSRR1556293.skesa.fa	4b, 4d, 4e*	FULL	FULL	NONE	FULL	FULL	Unusual 4b with lmo0737
