Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
SRR10022368.skesa	-	O157	H7	O157:H7	-	Based on 2 allele(s)	wzy:0.75;fliC:1;	O157-220-wzy;H7-1-fliC-origin;	100;100;	75;100;	Contig_320_13.0154;Contig_119_116.077;	1-733;11676-13433;	733;1758;	v1.0 (11-03-2020)	-
SRR10119187.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_159_71.9803;Contig_159_71.9803;Contig_141_70.7492;	65444-66835;63576-64742;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR10158334.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_124_79.0097;Contig_124_79.0097;Contig_123_77.4786;	65449-66840;63581-64747;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR10182661.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_115_51.6661;Contig_115_51.6661;Contig_23_75.8498;	65425-66816;63557-64723;12271-14028;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR10231621.skesa	-	O157	H7	O157:H7	-	Based on 2 allele(s)	wzy:0.988;fliC:1;	O157-209-wzy;H7-1-fliC-origin;	99.796;100;	99;100;	Contig_136_8.06288;Contig_200_49.3384;	537-1515;11436-13193;	979;1758;	v1.0 (11-03-2020)	-
SRR10392738.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_142_119.592;Contig_142_119.592;Contig_140_121.422;	65449-66840;63581-64747;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR10396457.skesa	-	O157	H7	O157:H7	-	Based on 2 allele(s)	wzx:0.56;fliC:1;	O157-16-wzx;H7-1-fliC-origin;	100;100;	56;100;	Contig_167_15.3153;Contig_172_104.789;	1-782;12237-13994;	782;1758;	v1.0 (11-03-2020)	-
SRR10418265.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_106_97.5857;Contig_106_97.5857;Contig_70_177.756;	65424-66815;63556-64722;13289-15046;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR10437599.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_113_78.7846;Contig_113_78.7846;Contig_120_90.7966;	65424-66815;63556-64722;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR10512649.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_103_122.917;Contig_103_122.917;Contig_112_131.049;	65424-66815;63556-64722;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
