Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
ecolioutbreakSRR1609861.skesa	-	O121	H19	O121:H19	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.98;	O121-1-wzx-origin;O121-5-wzy-origin;H19-4-fliC;	100;100;98.362;	100;100;100;	Contig_32_35.7955;Contig_32_35.7955;Contig_164_34.4505;	64816-66210;62174-63364;20566-22397;	1395;1191;1832;	v1.0 (11-03-2020)	-
ecolioutbreakSRR1609862.skesa	-	O121	H19	O121:H19	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.98;	O121-1-wzx-origin;O121-5-wzy-origin;H19-4-fliC;	100;100;98.362;	100;100;100;	Contig_132_46.0337;Contig_132_46.0337;Contig_165_44.8096;	70445-71839;67803-68993;20566-22397;	1395;1191;1832;	v1.0 (11-03-2020)	-
ecolioutbreakSRR1609871.skesa	-	O121	H19	O121:H19	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.98;	O121-1-wzx-origin;O121-5-wzy-origin;H19-4-fliC;	100;100;98.362;	100;100;100;	Contig_105_106.412;Contig_105_106.412;Contig_140_102.383;	70445-71839;67803-68993;20566-22397;	1395;1191;1832;	v1.0 (11-03-2020)	-
ecolioutbreakSRR1649236.skesa	-	O121	H19	O121:H19	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.98;	O121-1-wzx-origin;O121-5-wzy-origin;H19-4-fliC;	100;100;98.362;	100;100;100;	Contig_111_86.8442;Contig_111_86.8442;Contig_152_83.6495;	70445-71839;67803-68993;20566-22397;	1395;1191;1832;	v1.0 (11-03-2020)	-
ecolioutbreakSRR1649237.skesa	-	O121	H19	O121:H19	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.98;	O121-1-wzx-origin;O121-5-wzy-origin;H19-4-fliC;	100;100;98.362;	100;100;100;	Contig_113_109.674;Contig_113_109.674;Contig_146_104.019;	70445-71839;67803-68993;20566-22397;	1395;1191;1832;	v1.0 (11-03-2020)	-
ecolioutbreakSRR1649238.skesa	-	O121	H19	O121:H19	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.98;	O121-1-wzx-origin;O121-5-wzy-origin;H19-4-fliC;	100;100;98.362;	100;100;100;	Contig_123_89.4367;Contig_123_89.4367;Contig_209_83.3648;	70445-71839;67803-68993;20567-22398;	1395;1191;1832;	v1.0 (11-03-2020)	-
ecolioutbreakSRR2417034.skesa	-	O121	H19	O121:H19	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.98;	O121-1-wzx-origin;O121-5-wzy-origin;H19-4-fliC;	100;100;98.362;	100;100;100;	Contig_76_91.485;Contig_76_91.485;Contig_48_88.8751;	64890-66284;62248-63438;74684-76515;	1395;1191;1832;	v1.0 (11-03-2020)	-
ecolioutbreakSRR2481220.skesa	-	O121	H19	O121:H19	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.98;	O121-1-wzx-origin;O121-5-wzy-origin;H19-4-fliC;	100;100;98.362;	100;100;100;	Contig_71_84.3085;Contig_71_84.3085;Contig_164_83.472;	65868-67262;63226-64416;20566-22397;	1395;1191;1832;	v1.0 (11-03-2020)	-
ecolioutbreakSRR2481224.skesa	-	O121	H19	O121:H19	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.98;	O121-1-wzx-origin;O121-5-wzy-origin;H19-4-fliC;	100;100;98.362;	100;100;100;	Contig_119_65.3606;Contig_119_65.3606;Contig_44_61.5979;	70445-71839;67803-68993;5188-7019;	1395;1191;1832;	v1.0 (11-03-2020)	-
ecolioutbreakSRR2481225.skesa	-	O121	H19	O121:H19	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.98;	O121-1-wzx-origin;O121-5-wzy-origin;H19-4-fliC;	100;100;98.362;	100;100;100;	Contig_264_90.162;Contig_264_90.162;Contig_194_85.9622;	43904-45298;41262-42452;20566-22397;	1395;1191;1832;	v1.0 (11-03-2020)	-
