Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
SRR10140394.skesa	-	O9	H12	O9:H12	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O9-13-wzm;O9-23-wzt;H12-3-fliC-origin;	100;100;100;	100;100;100;	Contig_177_110.65;Contig_177_110.65;Contig_90_112.087;	36716-37501;35418-36713;5171-6958;	786;1296;1788;	v1.0 (11-03-2020)	-
SRR10165153.skesa	-	-	H10	-:H10	-	Based on 1 allele(s)	fliC:1;	H10-22-fliC;	100;	100;	Contig_146_89.9776;	22504-23766;	1263;	v1.0 (11-03-2020)	-
SRR10165180.skesa	-	-	H12	-:H12	-	Based on 1 allele(s)	fliC:1;	H12-3-fliC-origin;	100;	100;	Contig_42_65.7325;	17208-18995;	1788;	v1.0 (11-03-2020)	-
SRR10343274.skesa	-	-	H21	-:H21	-	Based on 1 allele(s)	fliC:1;	H21-12-fliC;	100;	100;	Contig_84_48.269;	46673-48148;	1476;	v1.0 (11-03-2020)	-
SRR10502089.skesa	-	O103	H16	O103:H16	-	Based on 2 allele(s)	wzx:1;fliC:1;	O103-1-wzx-origin;H16-27-fliC;	100;100;	100;100;	Contig_125_24.3187;Contig_33_83.9931;	546-1811;22384-23958;	1266;1575;	v1.0 (11-03-2020)	-
SRR10579917.skesa	-	-	H46	-:H46	-	Based on 1 allele(s)	fliC:0.99;	H46-4-fliC;	99.479;	100;	Contig_22_58.4938;	1253663-1255390;	1728;	v1.0 (11-03-2020)	-
SRR10579958.skesa	-	O23	H16	O23:H16	-	Based on 2 allele(s)	wzx:1;fliC:1;	O23-1-wzx-origin;H16-25-fliC;	100;99.937;	100;100;	Contig_97_24.0391;Contig_64_45.6039;	1261-2466;73246-74820;	1206;1575;	v1.0 (11-03-2020)	-
SRR10579960.skesa	-	O110	H28	O110:H28	-	Based on 2 allele(s)	wzx:1;fliC:1;	O110-1-wzx-origin;H28-2-fliC-origin;	100;100;	100;100;	Contig_53_21.7943;Contig_2_62.1655;	430-1680;122580-124319;	1251;1740;	v1.0 (11-03-2020)	-
SRR10579962.skesa	-	O9	H10	O9:H10	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:0.6;	O9-14-wzm;O9-19-wzt;H10-4-fliC;	100;100;100;	100;100;60;	Contig_87_63.1608;Contig_87_63.1608;Contig_39_61.5406;	27484-28269;26186-27481;1-756;	786;1296;756;	v1.0 (11-03-2020)	-
SRR10579964.skesa	-	O83	H33	O83:H33	-	Based on 3 allele(s)	wzx:0.999;wzy:0.999;fliC:1;	O83-1-wzx-origin;O83-2-wzy-origin;H33-1-fliC-origin;	99.861;99.919;99.922;	100;100;100;	Contig_44_51.73;Contig_44_51.73;Contig_3_48.4407;	123365-124807;122133-123368;40791-42077;	1443;1236;1287;	v1.0 (11-03-2020)	-
